country,pop,code
Afghanistan,0.0018488157643338,AFG
Algeria,0.05226835917495321,DZA
Andorra,20.22049123001758,AND
Angola,0.006928358631123034,AGO
Antigua and Barbuda,0.4954772735144868,ATG
Argentina,0.667454891588194,ARG
Armenia,0.040702665646566105,ARM
Aruba,9.58414399217e-05,ABW
Australia,6.91068608724088,AUS
Austria,17.003504256446824,AUT
Azerbaijan,0.0475110917508874,AZE
Bahamas,0.24941123923959105,BHS
Bahrain,1.0742499703960025,BHR
Barbados,3.6222957491945946,BRB
Belarus,0.8830617273142138,BLR
Belgium,29.81854441273309,BEL
Belize,2.4427977583177327,BLZ
Benin,0.024775184544127835,BEN
Bermuda,1.5932954129e-05,BMU
Bolivia,0.2816387191891521,BOL
Bosnia and Herzegovina,1.6452840963303086,BIH
Botswana,0.23562768763704467,BOT
Brazil,0.020069218303853362,BRA
Brunei,0.592063948659224,BRN
Bulgaria,1.3910872450498606,BGR
Burkina Faso,0.034784932544671944,BFA
Burundi,0.006574832114029014,BDI
Cambodia,0.4051484179719251,KHM
Cameroon,0.007524031704587669,CMR
Canada,5.263175632807065,CAN
Chile,0.5528528928291616,CHL
China,0.03186644467353919,CHN
Colombia,0.09225252354349484,COL
Congo,0.018214277844097154,COG
Costa Rica,2.027663872674725,CRI
Cote d'Ivoire,0.043537117136622304,CIV
Croatia,3.8953357793865635,HRV
Cyprus,5.77896718196888,CYP
Czechia,9.15380826548646,CZE
Democratic Republic of Congo,0.00045878932525547335,COD
Denmark,21.198584318050887,DNK
Dominican Republic,1.7374344777652058,DOM
Ecuador,0.9540722092664138,ECU
Egypt,0.07714409887360835,EGY
El Salvador,2.1463475381238912,SLV
Estonia,12.987496678778102,EST
Eswatini,0.535604618350275,SWZ
Ethiopia,0.023105792968760655,ETH
Fiji,0.6438652256999465,FJI
Finland,5.644440634639079,FIN
France,6.848508939848999,FRA
French Polynesia,1.2519684454833953,PYF
Georgia,0.21311882289742579,GEO
Germany,15.501116842461846,DEU
Ghana,0.012210600116936707,GHA
Greece,3.8762537845828278,GRC
Greenland,1.1755846842064823,GRL
Grenada,0.1494393088527928,GRD
Guatemala,0.6511247653993733,GTM
Guyana,0.4738381772919688,GUY
Honduras,0.5376262925466997,HND
Hong Kong,338.7423807597358,HKG
Hungary,1.7615938810227736,HUN
Iceland,16.41662331742213,ISL
India,0.00837350373738322,IND
Indonesia,0.4941577878985745,IDN
Iran,0.11457196871859823,IRN
Ireland,8.868332366010096,IRL
Israel,1.709662395790808,ISR
Italy,3.617614257208943,ITA
Jamaica,0.8383017582159417,JAM
Japan,10.795917318005472,JPN
Jordan,0.10851584482091545,JOR
Kazakhstan,0.20337787915670189,KAZ
Kenya,0.10821052926941453,KEN
Kiribati,0.05399258362268187,KIR
Kuwait,2.9210393574773446,KWT
Latvia,5.169084208279574,LVA
Lebanon,0.7292684375399198,LBN
Lesotho,0.00848290792521675,LSO
Libya,0.31302959121390417,LBY
Lithuania,8.141004232268436,LTU
Macao,3.880320194618637,MAC
Madagascar,0.0107151080602334,MDG
Malaysia,4.683203973892478,MYS
Maldives,0.4875191646078933,MDV
Malta,6.378117772374535,MLT
Mauritania,0.36243150372204963,MRT
Mauritius,0.9795123334620884,MUS
Mexico,3.905246916618382,MEX
Montenegro,0.6808960969986068,MNE
Montserrat,0.0709651257096512,MSR
Morocco,0.23576449331224536,MAR
Mozambique,0.015741045183603943,MOZ
Myanmar,0.18279969230428456,MMR
Namibia,0.7218693854933679,NAM
Netherlands,24.487722527615425,NLD
New Zealand,9.300897071196301,NZL
Nicaragua,1.536624325551829,NIC
Nigeria,0.052521261369849394,NGA
Norway,10.395319088659827,NOR
Oman,0.7511497215034025,OMN
Pakistan,0.13795933533115687,PAK
Palau,2.374718203599249,PLW
Palestine,0.006692153358548166,PSE
Panama,0.8370250111481854,PAN
Peru,0.021123984284630165,PER
Philippines,1.0664516025928896,PHL
Poland,3.331593754984287,POL
Portugal,5.269361486210974,PRT
Qatar,0.5418258453848415,QAT
Romania,1.431908748338898,ROU
Russia,0.10250122660174783,RUS
Saint Kitts and Nevis,0.9270561122656844,KNA
Saint Lucia,0.29857568215965363,LCA
Saint Vincent and the Grenadines,0.9881100571606459,VCT
Samoa,0.05477590094155507,WSM
Sao Tome and Principe,0.0006728837332726,STP
Saudi Arabia,2.1594030988946935,SAU
Senegal,0.09155138341849887,SEN
Sierra Leone,0.0009313973709026,SLE
Singapore,11.299168123098257,SGP
Slovakia,6.382433061466827,SVK
Slovenia,40.39817691057694,SVN
South Africa,0.22793865545366557,ZAF
South Korea,3.6654773803577116,KOR
Spain,4.918434970966476,ESP
Sri Lanka,0.048506313291515744,LKA
Sudan,0.20252463806349416,SDN
Suriname,0.756834261982953,SUR
Sweden,9.886621440035482,SWE
Tanzania,0.2330188431237898,TZA
Thailand,3.3005040221977775,THA
Togo,0.08893361293583801,TGO
Trinidad and Tobago,0.8233421301382106,TTO
Tunisia,1.9420717970270986,TUN
Turkey,0.21352821779456238,TUR
Ukraine,0.0651463058614445,UKR
United Arab Emirates,2.878130765100059,ARE
United Kingdom,11.3194425024698,GBR
United States,5.794559044094803,USA
Uruguay,0.5794812774497852,URY
Vietnam,1.3364905906203381,VNM
World,1.721283841657723,OWID_WRL
Yemen,0.9192269298336511,YEM
Zimbabwe,0.04876960115641837,ZWE
